Symbol	Bader_receptor	FANTOM5_receptor	CellTalk_receptor	Bader_ligand	FANTOM5_ligand	CellTalk_ligand
Ptchd4	1	0	0	0	0	0
Ptchd3	1	0	0	0	0	0
Insrr	1	0	1	0	0	0
Ptchd1	1	0	0	0	0	0
Tfpi	0	0	0	1	1	1
Tnn	0	0	0	1	0	0
Folr1	1	0	0	0	0	0
Folr2	1	0	0	0	0	0
Dlg1	0	0	0	0	0	0
Epgn	0	0	0	1	1	1
Lyg1	0	0	0	1	0	0
Lyg2	0	0	0	1	0	0
Cr1l	1	0	0	0	0	0
Il18bp	0	0	1	1	0	0
Avp	0	0	0	1	1	1
Adgrg7	1	0	0	0	0	0
Gpr101	1	0	0	0	0	0
Adgrg5	1	0	0	0	0	0
Mrgpra9	1	0	0	0	0	0
Adgrg3	1	0	0	0	0	0
Nptxr	1	0	1	0	0	0
Adgrg1	1	0	0	0	0	0
Thbd	1	1	1	0	0	0
Mrgpra1	1	0	0	0	0	0
Olfr273	1	0	0	0	0	0
Olfr272	1	0	0	0	0	0
Olfr270	1	0	0	0	0	0
Elane	0	0	0	1	0	0
Bglap2	0	0	0	1	0	0
Bglap3	0	0	0	1	0	0
Gpbar1	1	0	0	0	0	0
Opn1mw	1	0	0	0	0	0
Cd22	0	0	1	0	0	0
Draxin	0	0	0	1	0	1
Tll2	0	0	0	1	0	0
Stab1	1	0	0	0	0	0
Sfrp4	0	0	0	1	0	0
Stab2	1	0	1	0	0	0
Lrrc4	1	1	1	0	0	0
Esrrb	1	0	0	0	0	0
Rhbdl2	0	1	0	0	0	0
Slc45a3	0	1	0	0	0	0
Ldlrad2	1	0	0	0	0	0
Ldlrad3	1	0	0	0	0	0
Pomc	0	0	0	1	1	1
Rgmb	1	0	0	0	1	1
Rgma	1	0	0	0	1	1
Hhipl1	1	0	0	0	0	0
Olfr720	1	0	0	0	0	0
Wscd2	1	0	0	0	0	0
Olfr722	1	0	0	0	0	0
Olfr724	1	0	0	0	0	0
Olfr727	1	0	0	0	0	0
Olfr729	1	0	0	0	0	0
Olfr728	1	0	0	0	0	0
Nrxn2	1	1	1	0	0	0
Htr6	1	1	1	0	0	0
Htr7	1	1	0	0	0	0
Htr4	1	1	0	0	0	0
Olfr1510	1	0	0	0	0	0
Olfr666	1	0	0	0	0	0
Olfr1512	1	0	0	0	0	0
Oxtr	1	1	1	0	0	0
Omg	1	0	0	0	1	1
Ntrk3	1	1	1	0	0	0
Cftr	0	1	1	0	0	0
Chrm5	1	0	0	0	0	0
Pate2	0	0	0	1	0	0
Chrm3	1	1	0	0	0	0
Atp1b3	1	0	0	0	0	0
Chrm1	1	1	0	0	0	0
Atp1b1	1	0	0	0	0	0
Olfr125	1	0	0	0	0	0
Mttp	0	0	1	0	0	0
Grm8	1	0	0	0	0	0
Grm4	1	1	1	0	0	0
Grm5	1	1	0	0	0	0
Grm6	1	0	0	0	0	0
Grm7	1	1	1	0	0	0
Grm1	1	1	0	0	0	0
Grm2	1	0	0	0	0	0
Grm3	1	1	0	0	0	0
Hpcal1	0	0	0	0	0	0
Enho	0	0	0	1	0	0
Hpse	0	0	0	1	0	0
H2-Q10	1	0	0	0	1	0
Olfr1428	1	0	0	0	0	0
Olfr1359	1	0	0	0	0	0
Olfr1420	1	0	0	0	0	0
Ifna12	0	0	0	1	1	0
Ifna11	0	0	0	1	1	0
Olfr1423	1	0	0	0	0	0
Olfr1424	1	0	0	0	0	0
Olfr1425	1	0	0	0	0	0
Ifna15	0	0	0	1	1	0
Ifna14	0	0	0	1	1	0
Nrsn1	0	1	0	0	0	0
H2-M3	1	0	0	0	1	0
Olfr1193	1	0	0	0	0	0
Olfr810	1	0	0	0	0	0
Neo1	1	1	1	0	0	0
Sele	1	1	1	0	0	0
Ffar2	1	0	0	0	0	0
Hcrt	0	0	0	1	1	1
Ffar1	1	0	0	0	0	0
Zpbp	0	0	0	1	0	0
Ffar4	1	0	0	0	0	0
Ptprn2	1	0	0	0	0	0
Ptdss1	0	0	0	0	1	0
Tas2r114	1	0	0	0	0	0
Afdn	0	0	0	0	0	1
Ccl9	0	0	0	0	0	1
Ccn1	0	0	0	0	0	1
Asah2	0	0	0	1	0	0
Ccn3	0	0	0	0	0	1
Tas2r118	1	0	0	0	0	0
Tas2r119	1	0	0	0	0	0
Olfr878	1	0	0	0	0	0
Vipr2	1	1	1	0	0	0
Vipr1	1	1	1	0	0	0
Olfr873	1	0	0	0	0	0
Olfr874	1	0	0	0	0	0
Plxna2	1	1	1	0	0	0
Minpp1	0	0	0	1	0	0
Notum	0	0	0	1	0	0
Tmem123	1	0	0	0	0	0
Il18rap	1	1	1	0	0	0
C3ar1	1	1	1	0	0	0
Amy1	0	0	0	1	0	0
Alox5ap	0	0	0	0	1	1
BC055324	0	0	0	0	1	0
Tyro3	1	1	1	0	0	0
Serpinf2	0	0	0	1	0	0
Gp1ba	1	1	1	0	0	0
Ovgp1	0	0	0	1	0	0
Gp1bb	1	1	1	0	0	0
Smo	1	1	1	0	0	0
Disp1	1	0	0	0	0	0
Lilr4b	1	0	0	0	0	0
Epha10	1	0	1	0	0	0
Npff	0	0	0	1	1	1
Sema7a	1	0	0	0	1	1
Gad1	0	0	0	0	1	0
Dnajb9	0	0	0	1	0	0
Selp	0	1	1	0	0	0
Nts	0	0	0	1	1	1
Psors1c2	0	0	0	1	0	0
2610507B11Rik	0	0	0	1	0	0
Ntm	0	0	0	1	0	0
Scn3b	1	0	0	0	0	0
Fgfr4	1	1	1	0	0	0
Fgfr2	1	1	1	0	0	0
Fgfr3	1	1	1	0	0	0
Fgfr1	1	1	1	0	0	0
Ccl19	0	0	0	1	1	1
Pecam1	0	1	0	0	0	0
Ccdc80	0	0	0	1	0	0
Gpr75	1	1	1	0	0	0
Olfr39	1	0	0	0	0	0
Hs6st3	1	0	0	0	0	0
Olfr32	1	0	0	0	0	0
Olfr31	1	0	0	0	0	0
Nrtn	0	0	0	1	1	1
Amot	1	0	0	0	0	0
Slc16a1	0	0	1	0	0	0
Bmp8a	0	0	0	1	0	1
Bmp8b	0	0	0	0	0	1
Slurp1	0	0	0	1	0	1
Hsp90b1	0	0	0	1	1	1
Rtn4r	1	1	1	0	0	0
Canx	0	1	0	0	0	0
Lrp10	0	0	1	0	0	0
Lrp11	0	1	0	0	0	0
Ptgfr	1	0	0	0	0	0
Olfr715	1	0	0	0	0	0
Ptafr	1	0	0	0	0	0
Mas1	1	1	1	0	0	0
Mtnr1b	1	1	1	0	0	0
Adgrv1	1	0	0	0	0	0
Mtnr1a	1	1	0	0	0	0
Prl6a1	0	0	0	0	0	1
Oit1	0	0	0	1	0	0
Gfod2	0	0	0	1	0	0
Chrnb1	1	0	0	0	0	0
Chrnb3	1	0	0	0	0	0
Chrnb2	1	0	0	0	0	0
Chrnb4	1	0	0	0	0	0
Egf	0	0	0	1	1	1
Cort	0	0	0	1	1	1
Try5	0	0	0	1	0	0
Try4	0	0	0	1	0	0
Cthrc1	0	0	0	1	1	1
Crispld2	0	0	0	1	0	0
Fjx1	0	0	0	1	0	0
Il18r1	1	1	1	0	0	0
C1qbp	0	0	0	1	0	0
Pilrb2	1	0	0	0	0	0
Pilrb1	1	0	0	0	0	0
Prss27	0	0	0	1	0	0
Prss21	1	0	0	0	0	0
Prss23	0	0	0	1	1	0
Chid1	0	0	0	1	0	0
Gnb2	0	0	0	0	0	1
Serpine1	0	0	0	1	1	1
Serpine2	0	0	0	1	1	1
Serpine3	0	0	0	1	0	0
Mdk	0	0	0	1	1	1
Oxgr1	1	0	0	0	0	0
Clcf1	0	0	0	1	1	1
Bpifc	0	0	0	1	0	0
Adam23	1	0	0	0	1	0
Adam22	1	0	0	0	0	0
Gipr	1	1	1	0	0	0
Adam28	0	0	0	0	1	0
Igfbp7	0	0	0	1	0	0
Ebag9	1	0	0	0	0	0
Oc90	0	0	0	1	0	0
Nmbr	1	1	1	0	0	0
Apom	0	0	0	1	0	1
Olfr462	1	0	0	0	0	0
Olfr463	1	0	0	0	0	0
Olfr460	1	0	0	0	0	0
Uts2b	0	0	0	1	1	1
C1qc	0	0	0	1	0	0
C1qb	0	0	0	1	1	0
Hilpda	0	0	0	1	0	0
Sparc	0	0	0	1	0	0
Kcnj8	1	0	0	0	0	0
Nptx2	0	0	0	1	0	1
Gpr119	1	0	0	0	0	0
Bsg	1	0	0	0	0	1
Olfr263	1	0	0	0	0	0
Olfr480	1	0	0	0	0	0
Vit	0	0	0	1	0	0
Olfr1162	1	0	0	0	0	0
Rps19	0	0	0	0	1	0
Gpr1	1	1	0	0	0	0
Gpr157	1	0	0	0	0	0
Il12b	1	0	0	1	1	0
Lpo	0	0	0	1	0	0
Adrb1	1	0	0	0	0	0
Adrb2	1	1	0	0	0	0
Adrb3	1	1	1	0	0	0
Rln1	0	0	0	1	1	0
Nell1	0	0	0	1	0	0
Gm2457	0	0	0	1	1	0
Cd200r2	0	0	1	0	0	0
Nr6a1	1	0	0	0	0	0
a	0	0	0	1	1	1
Xpr1	1	0	0	0	0	0
Crlf2	1	0	1	0	0	0
Ces3b	0	0	0	1	0	0
Ces3a	0	0	0	1	0	0
Crlf1	1	1	1	0	0	0
Kng2	0	0	0	1	1	0
Kng1	0	0	0	1	1	0
Mylk2	0	1	0	0	0	0
Cnga2	0	1	1	0	0	0
Unc13b	1	0	0	0	0	0
Leap2	0	0	0	1	0	0
Pkd2l1	1	0	0	0	0	0
Cnr1	1	1	1	0	0	0
Pkm	0	0	0	0	1	0
Tuft1	0	0	0	0	0	0
Klrg1	1	1	1	0	0	0
Bex3	0	0	1	0	0	0
Lgmn	0	0	0	1	0	0
Lrpap1	1	0	0	0	1	0
Vstm2a	0	0	0	1	0	0
Olfr734	1	0	0	0	0	0
Fgf8	0	0	0	1	1	1
Olfr732	1	0	0	0	0	0
Vps37b	0	0	0	1	0	0
Olfr730	1	0	0	0	0	0
Otog	0	0	0	1	0	0
Olfr1505	1	0	0	0	0	0
Olfr1502	1	0	0	0	0	0
Olfr1500	1	0	0	0	0	0
Otor	0	0	0	1	0	0
Aimp1	0	0	0	1	0	0
Olfr1509	1	0	0	0	0	0
Anxa1	0	0	0	1	1	1
Ren1	0	0	0	1	1	0
Anxa2	1	0	0	0	0	1
Ifnk	0	0	0	1	0	0
Anxa7	0	0	0	1	0	0
Enpp7	1	0	0	0	0	0
Anxa9	1	0	0	0	0	0
Ifne	0	0	0	1	0	0
Nenf	0	0	0	1	0	0
Trpm1	1	0	0	0	0	0
Olfr640	1	0	0	0	0	0
Olfr641	1	0	0	0	0	0
Olfr646	1	0	0	0	0	0
Prss35	0	0	0	1	0	0
Cd274	0	0	0	0	0	1
Prl7a1	0	0	0	0	0	1
Olfr648	1	0	0	0	0	0
Lcat	0	0	0	1	0	0
Tm2d1	1	0	0	0	0	0
Nr4a2	1	0	0	0	0	0
Nr4a3	1	0	0	0	0	0
Nr4a1	1	0	0	0	0	0
Gpr146	1	0	0	0	0	0
Ncstn	0	1	1	0	0	0
Rtp4	1	0	0	0	0	0
Ptprt	1	0	0	0	0	0
Rtp2	1	0	0	0	0	0
Abca7	1	0	0	0	0	0
Rtp1	1	0	0	0	0	0
Cmtm3	1	0	0	0	0	0
Efna4	1	0	0	0	1	1
Il15ra	1	1	1	0	0	0
Cmtm7	1	0	0	0	0	0
Cmtm4	1	0	0	0	0	0
Olfr1434	1	0	0	0	0	0
Hmmr	0	1	1	0	0	0
Lbp	0	0	0	1	0	0
Col8a1	0	0	0	1	1	1
Csf2rb2	1	1	1	0	0	0
H2-Ab1	1	0	0	0	0	0
Gpnmb	1	0	1	0	0	0
Il34	0	0	0	1	1	1
Il33	0	0	0	1	0	1
Il31	0	0	0	0	0	1
Gfra1	1	1	1	0	0	0
Has2	0	0	0	0	1	1
Ltbr	0	1	1	0	0	0
Aqp6	0	1	0	0	0	0
Fn1	0	0	0	1	1	1
Eng	1	1	1	0	0	0
Obp2b	0	0	0	1	1	0
Mrap2	1	0	0	0	0	0
Aspn	0	0	0	1	0	0
Trat1	1	0	0	0	0	0
Acvr2b	1	1	1	0	0	0
Rtn2	0	0	0	0	0	1
Ifnb1	0	0	0	1	1	1
Pla2g1b	0	0	0	1	0	1
Olfr20	1	0	0	0	0	0
Itga2b	1	1	1	0	0	0
Olfr1230	1	0	0	0	0	0
Pate1	0	0	0	1	0	0
Olfr1234	1	0	0	0	0	0
Pate3	0	0	0	1	0	0
Omd	0	0	0	1	0	0
Olfr1238	1	0	0	0	0	0
Rnase6	0	0	0	1	0	0
Aebp1	0	0	0	1	0	0
Ptprb	1	1	1	0	0	0
Abca12	1	0	0	0	0	0
Kazald1	0	0	0	1	0	0
Pla2g10	0	0	0	1	1	1
Itgb8	1	1	1	0	0	0
Traf1	0	0	1	0	0	0
Ccl19-ps1	0	0	0	1	1	0
Nr2c2	1	0	0	0	0	0
Oprk1	1	1	1	0	0	0
Cstl1	0	0	0	1	0	0
Nr2c1	1	0	0	0	0	0
Tas1r1	1	0	0	0	0	0
Tas1r3	1	0	0	0	0	0
Tas1r2	1	0	0	0	0	0
Ros1	1	0	1	0	0	0
Fxyd6	0	1	0	0	0	0
Ceacam16	0	0	0	1	0	1
Itgb1bp1	0	0	0	0	0	1
Zg16	0	0	0	1	0	0
Prlh	0	0	0	1	1	1
Gpr88	1	0	0	0	0	0
Tas2r108	1	0	0	0	0	0
Myoc	0	0	0	1	1	0
Cd200r1	1	0	1	0	0	0
Gpr82	1	0	0	0	0	0
Gpr83	1	0	0	0	0	0
Gpr84	1	0	0	0	0	0
Gpr85	1	0	0	0	0	0
Gpr87	1	0	0	0	0	0
Tpsb2	0	0	0	1	0	0
Tfip11	0	0	0	0	0	0
Gfra4	1	1	1	0	0	0
Gpr65	1	0	0	0	0	0
Gpr62	1	0	0	0	0	0
Gpr63	1	0	0	0	0	0
Gfra3	1	1	1	0	0	0
Gpr61	1	0	0	0	0	0
Clu	0	0	0	1	0	1
Bdh2	0	0	0	1	0	0
Olfr24	1	0	0	0	0	0
Gpr68	1	0	0	0	0	0
Olfr26	1	0	0	0	0	0
Lrp2	1	1	1	0	0	0
Htr5a	1	1	0	0	0	0
Traf2	1	1	1	0	0	0
Traf3	0	1	1	0	0	0
Lrp6	1	1	1	0	0	0
Lrp4	1	1	1	0	0	0
Lrp5	1	1	1	0	0	0
Lrp8	1	1	1	0	0	0
Slc16a2	0	1	0	0	0	0
Asic3	0	1	0	0	0	0
Prl5a1	0	0	0	0	0	1
Cd200	0	0	0	0	0	1
Aplp1	1	0	0	0	0	0
Aplp2	0	1	1	0	0	0
Tepp	0	0	0	1	0	0
Gfral	1	0	1	0	0	0
Svep1	0	0	0	1	0	0
Npy6r	0	0	1	0	0	0
Chrna4	1	1	0	0	0	0
Chrna5	1	0	0	0	0	0
Chrna6	1	0	0	0	0	0
Chrna7	1	0	1	0	0	0
Tfpi2	0	0	0	1	0	0
Chrna2	1	0	0	0	0	0
Tshr	1	1	0	0	0	0
Sema4a	1	0	0	0	1	1
Sema4b	1	0	0	0	1	0
Sema4c	1	0	0	0	1	1
Sema4d	1	0	0	0	1	1
Btbd17	0	0	0	1	0	0
Sema4f	1	0	0	0	1	0
Sema4g	1	0	0	0	1	1
Matn1	0	0	0	1	1	0
Ifnar2	1	1	1	0	0	0
Matn3	0	0	0	1	0	0
Matn2	0	0	0	1	0	0
Matn4	0	0	0	1	0	0
Il21r	1	1	1	0	0	0
4930503L19Rik	0	0	0	1	0	0
Ifnar1	1	1	1	0	0	0
Nrg1	0	0	0	0	0	1
Olfr110	1	0	0	0	0	0
Nrg3	0	0	0	1	1	1
Nrg2	0	0	0	1	1	1
Nrg4	0	0	0	1	1	1
Olfr193	1	0	0	0	0	0
C4b	0	0	0	1	1	0
Ctf1	0	0	0	1	1	1
Dhh	0	0	0	1	1	0
Ackr4	1	1	1	0	0	0
Fpr1	1	1	1	0	0	0
Fpr2	1	1	1	0	0	0
Ackr1	1	0	1	0	0	0
Ackr2	1	1	1	0	0	0
Ackr3	1	1	1	0	0	0
Prss33	0	0	0	1	0	0
Krt1	0	0	0	0	0	0
Aoah	0	0	0	1	0	0
Prss37	0	0	0	1	0	0
Prss36	0	0	0	1	0	0
Gm128	0	0	0	1	0	0
Gabrb1	1	0	0	0	0	0
Prss38	0	0	0	1	0	0
Penk	0	0	0	1	1	0
Efnb3	1	0	0	0	1	1
Serpind1	0	0	0	1	0	0
Adamtsl2	0	0	0	1	0	0
Adamtsl3	0	0	0	1	0	0
Adamtsl1	0	0	0	1	0	0
Adamtsl4	0	0	0	1	0	0
Adamtsl5	0	0	0	1	0	0
Frzb	0	0	0	1	0	0
Scn8a	0	1	0	0	0	0
Kit	1	1	1	0	0	0
Adam10	1	0	0	0	1	1
Adam11	1	0	0	0	0	0
Adam12	0	0	0	0	1	1
Vsir	0	0	1	0	0	0
Adam15	1	0	0	0	1	1
Adam17	1	0	0	0	1	1
Prelp	0	0	0	1	0	0
Dner	1	0	0	0	0	0
Mc1r	1	1	1	0	0	0
Cdh13	1	0	0	0	0	0
Lat2	0	0	0	1	0	0
Cela3b	0	0	0	1	1	0
Prl7d1	0	0	0	0	0	1
Gas6	0	0	0	0	1	1
Cd55b	1	0	0	0	1	0
Ptgir	1	1	0	0	0	0
Fmod	0	0	0	1	0	0
Hebp1	0	0	0	0	1	0
Cela3a	0	0	0	1	0	0
Cd79b	1	0	0	0	0	0
Napsa	0	0	0	1	0	0
Cd79a	1	1	1	0	0	0
Gjb2	0	1	0	0	0	0
Catsper1	0	1	1	0	0	0
Lcn15	0	0	0	1	0	0
Adgra3	1	0	0	0	0	0
Adgra2	1	0	1	0	0	0
Lcn10	0	0	0	1	0	0
Lcn12	0	0	0	1	0	0
Gpr162	1	1	0	0	0	0
Gpr160	1	0	0	0	0	0
Gpr161	1	0	0	0	0	0
Gm7030	1	1	0	0	0	0
Chrna1	1	0	0	0	0	0
Chrna3	1	0	0	0	0	0
Ifnl2	0	0	0	1	1	0
P2ry2	1	0	0	0	0	0
Nfasc	1	0	0	0	0	0
Wif1	0	0	0	1	0	0
Reck	0	0	1	0	0	0
Lrrc4c	0	1	1	0	0	0
Lrrc4b	1	0	0	0	0	0
Lyz2	0	0	0	1	1	0
Ptger4	1	0	1	0	0	0
Mrgprb1	1	1	0	0	0	0
Ptger2	1	0	1	0	0	0
Ptger3	1	0	1	0	0	0
Tspan32	1	0	0	0	0	0
Tspan33	1	0	0	0	0	0
Il1f9	0	0	0	1	0	1
Il1f8	0	0	0	1	0	1
Il1f6	0	0	0	1	0	1
Il1f5	0	0	1	1	0	0
Il13ra2	1	1	1	0	0	0
Nrn1l	1	0	0	0	0	0
Olfr749	1	0	0	0	0	0
Psap	0	0	0	1	1	1
Edil3	0	0	0	1	1	0
Gabrr3	1	0	0	0	0	0
Olfr747	1	0	0	0	0	0
Olfr745	1	0	0	0	0	0
Olfr744	1	0	0	0	0	0
Gfra2	1	1	1	0	0	0
Igip	0	0	0	1	0	0
1190007I07Rik	0	0	0	1	0	0
Erbb2	1	1	1	0	0	0
Erbb3	1	1	1	0	0	0
C1rl	0	0	0	1	0	0
Ntn4	0	0	0	1	1	0
C1rb	0	0	0	1	0	0
C1ra	0	0	0	1	0	0
Dand5	0	0	0	1	0	0
Olfr101	1	0	0	0	0	0
Prokr1	1	1	1	0	0	0
Prokr2	1	1	1	0	0	0
Olfr102	1	0	0	0	0	0
Mettl24	0	0	0	1	0	0
Olfr109	1	0	0	0	0	0
Opcml	1	0	0	0	0	0
Hnrnpm	0	0	0	0	0	0
Pspn	0	0	0	1	1	1
Ace2	1	0	0	0	0	0
Vgf	0	0	0	1	0	0
Btla	1	0	0	0	1	1
Mylk	0	1	1	0	0	0
Chrna10	1	0	0	0	0	0
Ifnab	0	0	0	1	1	0
Calm3	0	0	0	0	0	1
Neto2	1	0	0	0	0	0
Lyve1	1	1	1	0	0	0
Prl8a1	0	0	0	0	0	1
Plg	0	0	0	1	1	1
Il20	0	0	0	1	1	1
Il22	0	0	0	1	1	1
Il25	0	0	0	1	1	1
Il24	0	0	0	1	1	1
Il27	0	0	0	1	1	1
Sned1	0	0	0	1	0	0
Scg5	0	0	0	1	0	0
Sftpd	0	0	0	1	1	1
Ccl3	0	0	0	1	1	1
Ifna9	0	0	0	1	1	0
Ccl1	0	0	0	1	1	1
Ccl6	0	0	0	0	0	1
H2-Ob	1	0	0	0	0	0
Sftpb	0	0	0	1	0	0
Ccl5	0	0	0	1	1	1
Cpxm1	0	0	0	1	0	0
H2-Q4	1	0	0	0	1	0
H2-Q7	1	0	0	0	1	0
Cpxm2	0	0	0	1	0	0
H2-Q1	1	0	0	0	1	0
Itgb3	1	1	1	0	0	0
Ifna5	0	0	0	1	1	0
H2-Q2	1	0	0	0	1	0
Ifna6	0	0	0	1	1	0
Plxdc1	1	0	0	0	0	0
Ankar	1	0	0	0	0	0
Lag3	1	0	0	0	0	0
Tpra1	1	0	0	0	0	0
Tm7sf2	1	0	0	0	0	0
Olfr1240	1	0	0	0	0	0
Itgb7	1	1	1	0	0	0
Ltb	0	0	0	1	1	1
Itgb6	1	1	1	0	0	0
Tlr2	1	1	1	0	0	0
Tlr3	1	0	1	0	0	0
St14	0	1	1	0	0	0
Tlr1	1	1	1	0	0	0
Tlr6	1	1	0	0	0	0
Tlr7	1	1	0	0	0	0
Tlr4	1	1	1	0	0	0
Tlr5	1	1	0	0	0	0
Tlr8	1	0	0	0	0	0
Aadacl2	0	0	0	1	0	0
Taar8b	1	0	0	0	0	0
Fap	1	1	1	0	0	0
Ltf	0	0	0	1	1	0
Adamts5	0	0	0	1	0	0
Adamts4	0	0	0	0	0	0
Adamts7	0	0	0	1	0	0
Adamts6	0	0	0	1	0	0
Prok1	0	0	0	1	1	1
Adamts3	0	0	0	1	0	1
Prok2	0	0	0	1	1	1
Ccr10	1	1	1	0	0	0
Npy1r	1	1	1	0	0	0
Hnf4a	1	0	0	0	0	0
Adamts8	0	0	0	1	0	0
Ltk	1	0	0	0	0	0
Rnaset2b	0	0	0	1	0	0
Olfr926	1	0	0	0	0	0
Olfr924	1	0	0	0	0	0
Ror2	1	1	1	0	0	0
Pkhd1l1	1	0	0	0	0	0
Slc44a5	0	1	0	0	0	0
Hspa8	0	0	0	0	0	1
Megf8	1	0	0	0	0	0
Plau	0	0	0	1	1	1
Plat	0	0	0	1	1	1
Dnase1	0	0	0	1	0	0
Trabd2b	1	0	0	0	0	0
A2m	0	0	0	1	1	0
Olfr15	1	0	0	0	0	0
Olfr16	1	0	0	0	0	0
Olfr17	1	0	0	0	0	0
Olfr11	1	0	0	0	0	0
Vash1	0	0	0	1	0	0
Olfr13	1	0	0	0	0	0
Nmur1	1	1	1	0	0	0
Rorc	1	0	0	0	0	0
Rorb	1	0	0	0	0	0
Rora	1	0	0	0	0	0
Shbg	0	0	0	1	1	1
Gpr52	1	0	0	0	0	0
Pla2g2c	0	0	0	1	0	0
Gpr50	1	0	0	0	0	0
Pla2g2e	0	0	0	1	0	0
Pla2g2d	0	0	0	1	0	0
Gpr55	1	0	0	0	0	0
Mia2	0	0	0	1	0	0
Agtr2	1	1	1	0	0	0
Flt4	1	1	1	0	0	0
Flt3	1	1	1	0	0	0
Flt1	1	1	1	0	0	0
Kcnj10	1	1	1	0	0	0
Scarf2	1	0	0	0	0	0
Scarf1	1	1	1	0	0	0
S1pr3	1	1	0	0	0	0
S1pr2	1	0	1	0	0	0
S1pr1	1	1	0	0	0	0
Lipf	0	0	0	1	0	0
Car6	0	0	0	1	0	0
S1pr5	1	1	0	0	0	0
S1pr4	1	1	0	0	0	0
Lipi	0	0	0	1	0	0
Liph	0	0	0	1	1	1
Htra4	0	0	0	1	0	0
Ibsp	0	0	0	1	1	0
Htra1	0	0	0	1	0	0
Abca1	1	1	1	0	0	0
Htra3	0	0	0	1	0	0
Uba52-ps	0	0	0	0	1	0
Tbxa2r	1	1	0	0	0	0
Gdf6	0	0	0	1	1	1
Alkal1	0	0	0	0	0	1
Fadd	0	0	0	0	0	1
Mc2r	1	1	1	0	0	0
Il6	1	0	0	1	1	1
Il7	0	0	0	1	1	1
Il4	0	0	0	1	1	1
Il5	0	0	0	1	1	1
Il2	0	0	0	1	1	1
Il3	0	0	0	0	0	1
Lrg1	0	0	0	1	0	0
Il9	0	0	0	1	1	1
Tspan5	1	0	1	0	0	0
Gdf5	0	0	0	1	1	1
Il4ra	1	1	1	0	0	0
Tg	0	0	0	1	1	1
Cd244a	1	0	1	0	0	0
Agtr1b	0	0	1	0	0	0
Agtr1a	1	1	1	0	0	0
Pvr	0	0	1	0	0	0
Mfap1b	0	0	0	0	0	0
Mfap1a	0	0	0	0	0	0
Lypd6	0	0	0	1	0	0
Kera	0	0	0	1	0	0
Lypd4	1	0	0	0	0	0
Pebp4	0	0	0	1	0	0
Lypd3	0	0	0	0	1	1
Lypd1	1	0	0	0	0	0
Pla2g12a	0	0	0	1	0	0
Qpct	0	0	0	1	0	0
Jag2	1	0	0	0	1	1
Serping1	0	0	0	1	1	0
Fst	0	0	0	1	1	0
Edar	1	1	1	0	0	0
Sil1	0	0	0	1	0	0
Jag1	1	0	0	0	1	1
Sema5b	1	0	0	0	0	0
Sema5a	1	0	0	0	1	1
Kcnn4	0	1	1	0	0	0
Bst1	1	0	0	0	1	0
Sucnr1	1	0	0	0	0	0
Ppy	0	0	0	1	1	1
Manf	0	0	0	1	0	0
Ucn2	0	0	0	1	1	1
Psen2	0	0	0	0	0	1
Psen1	0	0	0	0	1	1
Plgrkt	0	1	1	0	0	0
Fcnb	1	0	0	1	0	0
Col9a2	0	0	0	1	1	1
Xpnpep2	0	0	0	1	0	0
Ctsh	0	0	0	1	0	0
Icos	0	0	1	0	0	0
Grid1	1	0	0	0	0	0
Prl8a9	0	0	0	0	0	1
Cd151	1	1	0	0	0	0
Prl8a6	0	0	0	0	0	1
Ctsb	0	0	0	1	0	0
Ctsd	0	0	0	1	0	1
Kidins220	0	1	0	0	0	0
Ctsf	0	0	0	1	0	0
Ctsg	0	0	0	1	0	0
Gpr179	1	0	0	0	0	0
Ctsz	0	0	0	1	0	0
Lancl1	1	0	0	0	0	0
Otol1	0	0	0	1	0	0
Evi2a	1	0	0	0	0	0
Gpr173	1	0	0	0	0	0
Ctss	0	0	0	1	0	0
Gpr174	1	0	0	0	0	0
Adgrb2	1	0	0	0	0	0
Ctsw	0	0	0	1	0	0
Nr3c2	1	0	0	0	0	0
Nr3c1	1	0	0	0	0	0
Abcg5	1	0	0	0	0	0
Clpsl2	0	0	0	1	0	0
Abcg8	1	0	0	0	0	0
Il21	0	0	0	1	1	1
Col14a1	0	0	0	1	1	0
Aip	1	0	0	0	0	0
Adgrl4	1	0	0	0	0	0
Adgrl2	1	0	0	0	0	0
Adgrl3	1	0	0	0	0	0
Adgrl1	1	0	0	0	0	0
Gabra5	1	0	0	0	0	0
Gabra4	1	0	0	0	0	0
Cldn2	0	1	0	0	0	0
Cldn3	1	0	0	0	0	0
Cldn4	1	1	0	0	0	0
Gabra3	1	0	0	0	0	0
Gabra2	1	0	0	0	0	0
Nhlrc3	0	0	0	1	0	0
Nudt9	0	0	0	1	0	0
Cnr2	1	0	0	0	0	0
C1s1	0	0	0	1	0	0
C1s2	0	0	0	1	0	0
Fgf17	0	0	0	1	1	1
Plxna3	1	1	1	0	0	0
Lman1	0	0	0	0	0	1
Havcr2	0	0	1	0	0	0
Maged1	0	1	0	0	0	0
Olfr715b	1	0	0	0	0	0
Cd300c	1	0	0	0	0	0
Fbln1	0	0	0	1	1	1
Cd300a	1	0	0	0	0	0
Fbln7	0	0	0	1	0	0
Scarb1	1	1	1	0	0	0
Fbln5	1	0	0	1	0	0
Ptma	0	0	0	0	0	1
Gnas	0	0	0	0	1	1
