Symbol	Bader_receptor	FANTOM5_receptor	CellTalk_receptor	Bader_ligand	FANTOM5_ligand	CellTalk_ligand
Dkk3	0	0	0	1	0	1
Dkk1	0	0	0	1	1	1
Defb23	0	0	0	1	0	0
Igsf21	0	0	0	1	0	0
Defb29	0	0	0	1	0	0
Olfr402	1	0	0	0	0	0
Olfr403	1	0	0	0	0	0
Podn	0	0	0	0	0	0
Il13ra1	1	1	1	0	0	0
H2-D1	1	0	0	0	1	0
Ptk7	1	0	1	0	0	0
Glod4	0	0	0	1	0	0
Cxcl3	0	0	0	0	0	1
Col22a1	0	0	0	1	0	0
Fcer1g	1	0	0	0	0	0
Rell2	0	0	0	0	0	0
Fbrs	0	0	0	1	0	0
Col27a1	0	0	0	1	0	0
Olfr1100	1	0	0	0	0	0
Gp9	0	1	1	0	0	0
Olfr1104	1	0	0	0	0	0
Gp5	0	0	1	0	0	0
Gp6	1	1	0	0	0	0
Gabra6	1	0	0	0	0	0
Clec3b	0	0	0	1	0	0
Extl2	0	0	0	1	0	0
Clec3a	0	0	0	1	1	0
Gabra1	1	0	0	0	0	0
Pdap1	0	0	0	0	1	0
Rtn4	0	0	0	0	1	1
Paqr4	1	0	0	0	0	0
Paqr7	1	0	0	0	0	0
Adora2b	1	1	1	0	0	0
Paqr6	1	0	0	0	0	0
S100a13	0	0	0	1	0	0
Msr1	1	0	0	0	0	0
Itgax	1	1	0	0	0	0
Il20rb	1	1	1	0	0	0
Igsf6	1	0	0	0	0	0
Olfr1031	1	0	0	0	0	0
Ryr1	1	0	1	0	0	0
Olfr155	1	0	0	0	0	0
Sdc2	0	1	1	0	0	0
Sdc3	0	1	1	0	0	0
Sdc4	1	1	1	0	0	0
Itgav	1	1	1	0	0	0
Plxnb3	1	1	1	0	0	0
Grin2b	1	0	0	0	0	0
Grin2c	1	1	1	0	0	0
Gng4	0	0	0	0	0	1
Grin2a	1	0	0	0	0	0
Itgal	1	1	1	0	0	0
Itgam	1	1	1	0	0	0
Grin2d	1	1	1	0	0	0
Grpr	1	1	1	0	0	0
Itgad	1	1	0	0	0	0
Itgae	1	1	1	0	0	0
Gng8	0	0	0	0	0	1
Treh	0	0	0	1	0	0
Bgn	0	0	0	1	1	1
Msra	0	0	0	1	0	0
Gng5	0	0	0	0	0	1
Ctsl	0	0	0	1	0	0
Itga8	1	1	1	0	0	0
Itga9	1	1	1	0	0	0
Hjv	0	0	1	0	0	0
Klrd1	1	1	0	0	0	0
Itga1	1	1	1	0	0	0
Itga2	1	1	1	0	0	0
Itga3	1	1	1	0	0	0
Itga4	1	1	1	0	0	0
Itga5	1	1	1	0	0	0
Itga6	1	1	1	0	0	0
Itga7	1	1	1	0	0	0
Nr1i3	1	0	0	0	0	0
Nr1i2	1	0	0	0	0	0
Osmr	1	1	1	0	0	0
Apoa4	0	0	0	1	0	0
Apoa5	0	0	0	1	0	0
Kcnip4	0	0	0	0	0	0
Kcnip3	0	0	0	0	0	0
Kcnip2	0	0	0	0	0	0
Apoa2	0	0	0	1	0	0
Cr2	1	0	1	0	0	0
Taar5	1	0	0	0	0	0
Adam2	1	0	0	0	1	1
Adam3	0	0	0	0	0	1
Cst10	0	0	0	1	0	0
Pde1b	0	1	0	0	0	0
Pde1a	0	1	0	0	0	0
Cela2a	0	0	0	1	0	0
Ly9	1	0	0	0	0	0
Serpina1b	0	0	0	1	1	0
Serpina1c	0	0	0	1	1	0
Serpina1a	0	0	0	1	1	0
Olfr323	1	0	0	0	0	0
Serpina1d	0	0	0	1	1	0
Serpina1e	0	0	0	1	1	0
Impg2	1	0	0	0	0	0
Ltbp4	1	0	0	1	0	0
Ltbp3	0	0	0	1	1	0
Ltbp2	0	0	0	1	0	0
Ltbp1	1	0	0	1	1	0
Xcr1	1	1	1	0	0	0
Gm34066	0	0	0	1	0	0
Hbegf	1	0	0	0	1	1
C9	0	0	0	1	0	0
C3	0	0	0	1	1	1
Hmcn2	0	0	0	0	0	0
Hmcn1	0	0	0	1	0	0
C7	0	0	0	1	0	0
Fstl4	0	0	0	1	0	0
M6pr	1	0	0	0	0	0
Serpina12	0	0	0	1	0	0
Crp	0	0	0	1	1	1
Serpina11	0	0	0	1	0	0
Vcl	0	0	0	0	0	1
Sulf2	0	0	0	1	0	0
Sulf1	0	0	0	1	0	0
Chadl	0	0	0	1	0	0
Gpr171	1	0	0	0	0	0
Crh	0	0	0	1	1	1
Fstl1	0	0	0	1	0	0
Rtn3	0	0	0	0	0	1
Orai2	0	1	0	0	0	0
Pdgfrb	1	1	1	0	0	0
Pdgfra	1	1	1	0	0	0
Mfrp	0	1	1	0	0	0
Pdgfrl	1	0	0	0	0	0
Fgfbp3	0	0	0	1	0	0
Fgfbp1	0	0	0	1	0	0
Cp	0	0	0	1	1	1
Trh	0	0	0	1	1	1
Cacna1a	1	0	0	0	0	0
Cacna1c	0	1	1	0	0	0
Rxrg	1	0	0	0	0	0
Ogfrl1	1	0	0	0	0	0
Pltp	0	0	0	1	1	1
Gng13	0	0	0	0	0	1
Glp2r	1	1	1	0	0	0
Amfr	0	1	0	0	0	0
Cd4	1	1	1	0	0	0
Cd5	1	1	0	0	0	0
Cd6	1	0	0	0	0	1
Cd7	1	0	0	0	0	0
Cd2	1	0	0	0	0	0
Tnfrsf17	1	1	1	0	0	0
Cd9	1	1	1	0	0	0
Adipoq	1	0	0	1	1	1
Olfr435	1	0	0	0	0	0
Adgre1	1	0	0	0	0	0
Mepe	0	0	0	1	1	0
Lrp12	1	0	0	0	0	0
Htr3b	1	0	0	0	0	0
Htr3a	1	0	0	0	0	0
Tmem222	0	1	0	0	0	0
